OBJECTID,NAME,COMMPLAN,SHARED,COALIT,HORZ_VERT,MAPLABEL,ID,Shape_Length
118,ASHCREEK/CRESTWOOD,SOUTHWEST,Y,SWNI,HORZ,Ashcreek/Crestwood,118,4474.18152260757
119,ASHCREEK,SOUTHWEST,N,SWNI,HORZ,Ashcreek,119,3859.97842626439
120,ASHCREEK,SOUTHWEST,N,SWNI,HORZ,Ashcreek,120,134.874678158265
121,ASHCREEK/CRESTWOOD,SOUTHWEST,Y,SWNI,,Ashcreek/Crestwood,121,173.825878082015
122,MC UNCLAIMED #13,SOUTHWEST,N,UNCLAIMED,NA,MC Unclaimed #13,122,296.243335927688
123,MC UNCLAIMED #13,SOUTHWEST,N,UNCLAIMED,NA,MC Unclaimed #13,123,326.220114553732
124,ST. JOHNS, ,N,NPNS,HORZ,St. Johns,124,32608.8410272908
125,HAYDEN ISLAND NEIGHBORHOOD NETWORK, ,N,NPNS,HORZ,Hayden Island,125,27375.2157780404
126,KENTON,ALBINA,N,NPNS,HORZ,Kenton,126,19247.1882250324
127,BRIDGETON, ,N,NPNS,HORZ,Bridgeton,127,8635.72066234588
128,EAST COLUMBIA, ,N,NPNS,HORZ,East Columbia,128,15397.2691312464
129,SUNDERLAND ASSOCIATION OF NEIGHBORS, ,N,CNN,HORZ,Sunderland,129,20706.4969160766
130,PORTSMOUTH, ,N,NPNS,HORZ,Portsmouth,130,10003.7955651372
