Name,Walk Score,OffenseCount2015,OffenseCount2018,Population,lat,lng,Zipcode
Alameda,65,102,168,"5,206",45.54465583543186,-122.62607960316718,97212
Arbor Lodge,77,319,465,"6,131",45.57721311759597,-122.67859072730494,97217
Arlington Heights,35,66,73,784,45.51656905063247,-122.69949292137194,97201
Arnold Creek,21,22,25,"2,850",45.43944876534213,-122.7076447489947,97035
Ashcreek,36,53,98,"5,705",45.467338211601245,-122.74880789452604,97223
Beaumont-Wilshire,77,127,212,"5,210",45.542831415275,-122.61892473033829,97213
Boise,92,292,378,"3,309",45.54826572811596,-122.66796528883437,97227
Brentwood-Darlington,64,536,767,"13,024",45.462557922401245,-122.61586200342884,97222
Bridlemile,42,67,88,"4,809",45.481842994509655,-122.710331369261,97239
Brooklyn,82,242,414,"3,488",45.49029803003955,-122.62286338292174,97202
Buckman,91,427,558,"8,472",45.51931740908355,-122.63709299885616,97214
Buckman,91,841,1378,"8,472",45.51931740908355,-122.63709299885616,97214
Cathedral Park,79,147,335,"3,289",45.57641768898887,-122.74774080646131,97210
Centennial,55,1238,2087,"22,553",45.526468309560784,-122.51060054636952,97230
Collins View,27,51,70,"2,920",45.446618244419405,-122.68711800669901,97219
Concordia,76,299,470,"9,561",45.55543015581583,-122.64195025427608,97211
Cully,57,548,1003,"13,237",45.54829038307215,-122.61471222454391,97213
East Columbia,16,394,494,"1,858",45.59947863270277,-122.66015444372715,97211
Eastmoreland,53,135,142,"4,031",45.47920060293069,-122.62267109224695,97202
Eliot,87,511,1183,"3,542",45.54827281993202,-122.6586036766623,97212
Far Southwest,39,52,77,"1,318",45.445884417648756,-122.73339662927704,97219
Glenfair,61,205,381,"3,483",45.52642622359428,-122.496955590853,97230
Goose Hollow,93,562,701,"5,825",45.51941152387617,-122.72870721059324,97210
Hayhurst,50,89,119,"5,370",45.478401568675004,-122.74720896338891,97225
Hazelwood,62,2640,3877,"23,446",45.50420241595718,-122.54802321395735,97216
Hillsdale,57,198,356,"7,687",45.47170748044723,-122.68047931930714,97219
Homestead,46,116,155,"1,837",45.50597030101124,-122.68549575889037,97201
Humboldt,89,252,399,"5,110",45.566434055684994,-122.66475344967259,97211
Irvington,83,250,424,"6,752",45.49109271601254,-122.69563934283916,97239
Kerns,93,614,883,"5,336",45.52304035405396,-122.66755048276876,97209
King,89,290,528,"6,102",45.54827281993202,-122.6586036766623,97212
Laurelhurst,81,189,238,"4,657",45.53164300529418,-122.6173047965898,97213
Linnton,5,48,80,935,45.58518893125,-122.76460551080572,97203
Lloyd District,91,921,1576,"1,141",45.51954858251791,-122.75581294184029,97229
Madison South,56,395,719,"7,106",45.532651223668616,-122.56539604495232,97220
Markham,41,33,58,"2,415",45.449199673103685,-122.71282976013596,97219
Marshall Park,27,9,25,"1,511",45.446618244419405,-122.68711800669901,97219
Mill Park,70,445,839,"8,555",45.504063853618746,-122.52995939704915,97236
Montavilla,75,967,1645,"16,143",45.50538423811616,-122.58526932037098,97206
Mt. Scott-Arleta,79,356,610,"7,399",45.48287223647189,-122.57896132080151,97206
Mt. Tabor,69,318,556,"10,189",45.5232277157027,-122.59254224350627,97213
Multnomah,68,235,322,"6,919",45.46747560115193,-122.72604663697857,97219
North Tabor,76,268,562,"5,252",45.53164300529418,-122.6173047965898,97213
Northwest District,93,1227,1809,"12,700",45.602391973740424,-122.65703985797468,97217
Northwest Heights,12,14,38,"5,495",45.52973148563183,-122.76448757189036,97229
Old Town Chinatown,97,1277,1921,"3,873",45.52304035405396,-122.66755048276876,97209
Overlook,73,354,493,"6,109",45.55463890366046,-122.6786671784272,97217
Parkrose,54,657,1134,"6,377",45.55540271555632,-122.5675206666005,97220
Parkrose,54,657,1134,"6,377",45.54667022478301,-122.5374572924676,97230
Piedmont,72,255,508,"7,047",45.58658733876778,-122.67544970503198,97217
Pleasant Valley,22,250,436,"10,299",45.45379056621978,-122.4969768494842,97086
Portsmouth,63,466,626,"9,799",45.584724123634345,-122.7079464014705,97217
Powellhurst-Gilbert,53,1397,2406,"27,441",45.48004393341885,-122.51467524610779,97236
Reed,64,169,229,"4,365",45.49029803003955,-122.62286338292174,97202
Richmond,90,613,796,"11,634",45.505322826595325,-122.60900571263413,97215
Rose City Park,76,295,548,"8,951",45.541101442888156,-122.59628165155635,97213
Roseway,76,233,411,"6,314",45.541816233305866,-122.583421860429,97213
Russell,36,234,339,"3,167",45.53376516236968,-122.51691552225552,97230
Sabin,83,108,153,"4,150",45.52868247234078,-122.65313167175407,97232
Sellwood-Moreland,81,407,746,"11,597",45.47387757160734,-122.74367703472845,97219
South Burlingame,62,36,47,"1,634",45.463508223560225,-122.6993189239896,97219
South Portland,68,332,660,"6,726",45.4683688562756,-122.67279422845823,97219
Southwest Hills,30,170,181,"7,538",45.46467663767927,-122.61589408765751,97206
St. Johns,64,731,1226,"12,263",45.62010040358283,-122.71672391916334,97203
Sumner,60,166,271,"2,133",45.55540271555632,-122.5675206666005,97220
Sunnyside,91,390,675,"7,350",45.512077014910915,-122.63714442111794,97214
Sylvan-Highlands,18,47,62,"1,290",45.507893346752326,-122.743832672343,97225
University Park,53,215,260,"5,996",45.57495596470321,-122.70795881169613,97217
Vernon,88,92,177,"2,630",45.55768675805182,-122.64290831022151,97211
West Portland Park,57,68,185,"3,923",45.440351226986074,-122.7272219199328,97219
Wilkes,31,325,543,"8,768",45.53385175726229,-122.62536070390316,97232
Woodlawn,74,158,297,"4,938",45.56632637569365,-122.64351587588249,97211
